bin_center,count
8685.95,5.87462e-07
25657.2,6.15716e-07
42211.9,6.1706e-07
58872,6.07974e-07
75660.6,6.07622e-07
92450.1,6.07916e-07
109186,6.11518e-07
125896,6.0983e-07
142495,6.19728e-07
158970,6.18943e-07
175699,6.01247e-07
192598,6.06435e-07
209252,6.19137e-07
225998,5.99877e-07
242803,6.14701e-07
259440,6.11975e-07
276233,6.03348e-07
293095,6.06964e-07
309888,6.08325e-07
326585,6.13967e-07
343233,6.11883e-07
359898,6.12733e-07
376541,6.13536e-07
393214,6.10484e-07
409996,6.05633e-07
426771,6.10928e-07
443592,6.02422e-07
460408,6.11226e-07
477243,6.01115e-07
494102,6.09488e-07
510830,6.10476e-07
527531,6.11521e-07
544198,6.1295e-07
560727,6.21781e-07
577246,6.13726e-07
593916,6.10484e-07
610586,6.13796e-07
627240,6.11612e-07
643849,6.17192e-07
660508,6.07947e-07
677316,6.0621e-07
694065,6.12311e-07
710662,6.173e-07
727273,6.11348e-07
743969,6.10999e-07
760709,6.08113e-07
777421,6.13095e-07
794143,6.07393e-07
810830,6.15629e-07
827462,6.11426e-07
844312,5.99876e-07
861159,6.1161e-07
877873,6.09393e-07
894567,6.13146e-07
911213,6.1281e-07
927847,6.14124e-07
944492,6.11935e-07
961163,6.12278e-07
977876,6.08819e-07
994599,6.11506e-07
1.01138e+06,6.04548e-07
1.02822e+06,6.07274e-07
1.04489e+06,6.17139e-07
1.06155e+06,6.07993e-07
1.07827e+06,6.12374e-07
1.0951e+06,6.0049e-07
1.11206e+06,6.0329e-07
1.12876e+06,6.18485e-07
1.14541e+06,6.07341e-07
1.16208e+06,6.17094e-07
1.17873e+06,6.08924e-07
1.19542e+06,6.1393e-07
1.21201e+06,6.15738e-07
1.22863e+06,6.1218e-07
1.24524e+06,6.16941e-07
1.26183e+06,6.13237e-07
1.2784e+06,6.18222e-07
1.29494e+06,6.15336e-07
1.31156e+06,6.12677e-07
1.32823e+06,6.11623e-07
1.34484e+06,6.1717e-07
1.36136e+06,6.18556e-07
1.37792e+06,6.13189e-07
1.39449e+06,6.19029e-07
1.41105e+06,6.12807e-07
1.42774e+06,6.10546e-07
1.44449e+06,6.07697e-07
1.46117e+06,6.15442e-07
1.47784e+06,6.09409e-07
1.49447e+06,6.17414e-07
1.5111e+06,6.10262e-07
1.52781e+06,6.10909e-07
1.54444e+06,6.16088e-07
1.56116e+06,6.05054e-07
1.57797e+06,6.08382e-07
1.5948e+06,6.04506e-07
1.61161e+06,6.09411e-07
1.62827e+06,6.15602e-07
1.64496e+06,0
826684,-0
