alpha,sample_amount,method_name,value
1.50000000000000000e+00,10000,1_case,9.34578191612803906e+13
1.50000000000000000e+00,10000,2_case,9.37596094254624531e+13
1.50000000000000000e+00,10000,3_case,2.10062353995715742e+13
1.50000000000000000e+00,10000,3_case_confident,9.51597795417879219e+13
1.50000000000000000e+00,10000,3_case_confident_15,9.69530699231623750e+13
1.50000000000000000e+00,10000,from_origin,9.37400554866969375e+13
1.50000000000000000e+00,10000,perfect_deepseek,6.79562896686977422e+13
1.50000000000000000e+00,10000,recent,9.48333308473467344e+13
1.50000000000000000e+00,10000,simple,9.26111101850162969e+13
1.50000000000000000e+00,100000,1_case,9.28621551654006400e+17
1.50000000000000000e+00,100000,2_case,9.29575745994651392e+17
1.50000000000000000e+00,100000,3_case,1.96460643744193344e+17
1.50000000000000000e+00,100000,3_case_confident,9.34002236749481728e+17
1.50000000000000000e+00,100000,3_case_confident_15,9.39672712471304832e+17
1.50000000000000000e+00,100000,from_origin,9.29513920753806848e+17
1.50000000000000000e+00,100000,perfect_deepseek,8.48020748741081472e+17
1.50000000000000000e+00,100000,recent,9.33047463255693824e+17
1.50000000000000000e+00,100000,simple,9.25944444540784000e+17
